#p1    p3    infected%
0.0   0.0    0.0303212
0.0   0.05    0.0228308
0.0   0.1    0.030832
0.0   0.15000000000000002    0.026488799999999996
0.0   0.2    0.0280156
0.0   0.25    0.028414800000000004
0.0   0.30000000000000004    0.028072800000000002
0.0   0.35000000000000003    0.0277652
0.0   0.4    0.028494400000000003
0.0   0.45    0.027880000000000002
0.0   0.5    0.029098399999999996
0.0   0.55    0.028502
0.0   0.6000000000000001    0.0304748
0.0   0.65    0.029062400000000002
0.0   0.7000000000000001    0.0290684
0.0   0.75    0.0262884
0.0   0.8    0.030947199999999998
0.0   0.8500000000000001    0.028900799999999997
0.0   0.9    0.025934
0.0   0.9500000000000001    0.0324864
0.0   1.0    0.0282784
0.05   0.0    0.0366388
0.05   0.05    0.036194
0.05   0.1    0.0302204
0.05   0.15000000000000002    0.0333032
0.05   0.2    0.035293599999999994
0.05   0.25    0.0414432
0.05   0.30000000000000004    0.040065199999999995
0.05   0.35000000000000003    0.0398692
0.05   0.4    0.0365952
0.05   0.45    0.0382172
0.05   0.5    0.035929199999999994
0.05   0.55    0.040138400000000005
0.05   0.6000000000000001    0.0392224
0.05   0.65    0.0407248
0.05   0.7000000000000001    0.041593200000000004
0.05   0.75    0.039826
0.05   0.8    0.0366276
0.05   0.8500000000000001    0.0403624
0.05   0.9    0.0401508
0.05   0.9500000000000001    0.0418724
0.05   1.0    0.0452956
0.1   0.0    0.039131599999999996
0.1   0.05    0.036835599999999996
0.1   0.1    0.0406192
0.1   0.15000000000000002    0.0435756
0.1   0.2    0.046182799999999996
0.1   0.25    0.051771199999999996
0.1   0.30000000000000004    0.047507600000000004
0.1   0.35000000000000003    0.0496036
0.1   0.4    0.0552624
0.1   0.45    0.0491556
0.1   0.5    0.06478239999999999
0.1   0.55    0.0596832
0.1   0.6000000000000001    0.0497376
0.1   0.65    0.059241999999999996
0.1   0.7000000000000001    0.0545532
0.1   0.75    0.058170000000000006
0.1   0.8    0.06151040000000001
0.1   0.8500000000000001    0.0672804
0.1   0.9    0.0663848
0.1   0.9500000000000001    0.062666
0.1   1.0    0.0652884
0.15000000000000002   0.0    0.04554
0.15000000000000002   0.05    0.0455852
0.15000000000000002   0.1    0.0468812
0.15000000000000002   0.15000000000000002    0.055374400000000004
0.15000000000000002   0.2    0.053636
0.15000000000000002   0.25    0.0615884
0.15000000000000002   0.30000000000000004    0.06465
0.15000000000000002   0.35000000000000003    0.060899199999999994
0.15000000000000002   0.4    0.0707188
0.15000000000000002   0.45    0.07875320000000001
0.15000000000000002   0.5    0.0708444
0.15000000000000002   0.55    0.0702096
0.15000000000000002   0.6000000000000001    0.079208
0.15000000000000002   0.65    0.0730508
0.15000000000000002   0.7000000000000001    0.0827988
0.15000000000000002   0.75    0.0837704
0.15000000000000002   0.8    0.0742888
0.15000000000000002   0.8500000000000001    0.07658039999999999
0.15000000000000002   0.9    0.08229360000000001
0.15000000000000002   0.9500000000000001    0.0922084
0.15000000000000002   1.0    0.0868704
0.2   0.0    0.0418052
0.2   0.05    0.05085
0.2   0.1    0.0550924
0.2   0.15000000000000002    0.0642104
0.2   0.2    0.061855999999999994
0.2   0.25    0.08226839999999999
0.2   0.30000000000000004    0.07310359999999999
0.2   0.35000000000000003    0.0856716
0.2   0.4    0.10264680000000001
0.2   0.45    0.093346
0.2   0.5    0.10353
0.2   0.55    0.11573399999999999
0.2   0.6000000000000001    0.10867719999999999
0.2   0.65    0.12172639999999998
0.2   0.7000000000000001    0.1090912
0.2   0.75    0.098612
0.2   0.8    0.1004928
0.2   0.8500000000000001    0.11070160000000001
0.2   0.9    0.133576
0.2   0.9500000000000001    0.1250616
0.2   1.0    0.1274484
0.25   0.0    0.0464628
0.25   0.05    0.054360799999999994
0.25   0.1    0.0623708
0.25   0.15000000000000002    0.079078
0.25   0.2    0.0858384
0.25   0.25    0.09440119999999999
0.25   0.30000000000000004    0.0993828
0.25   0.35000000000000003    0.10949
0.25   0.4    0.1050616
0.25   0.45    0.10687200000000001
0.25   0.5    0.12569
0.25   0.55    0.13004839999999998
0.25   0.6000000000000001    0.130744
0.25   0.65    0.1377524
0.25   0.7000000000000001    0.14542
0.25   0.75    0.15364280000000002
0.25   0.8    0.14190719999999998
0.25   0.8500000000000001    0.1467708
0.25   0.9    0.17843599999999998
0.25   0.9500000000000001    0.1672988
0.25   1.0    0.16879
0.30000000000000004   0.0    0.052393600000000005
0.30000000000000004   0.05    0.055333600000000004
0.30000000000000004   0.1    0.07365
0.30000000000000004   0.15000000000000002    0.0744812
0.30000000000000004   0.2    0.0842392
0.30000000000000004   0.25    0.11646400000000001
0.30000000000000004   0.30000000000000004    0.116496
0.30000000000000004   0.35000000000000003    0.13484000000000002
0.30000000000000004   0.4    0.1419644
0.30000000000000004   0.45    0.149514
0.30000000000000004   0.5    0.16414120000000001
0.30000000000000004   0.55    0.1720872
0.30000000000000004   0.6000000000000001    0.1663688
0.30000000000000004   0.65    0.17488879999999998
0.30000000000000004   0.7000000000000001    0.18163320000000002
0.30000000000000004   0.75    0.1978184
0.30000000000000004   0.8    0.19085080000000001
0.30000000000000004   0.8500000000000001    0.19935360000000002
0.30000000000000004   0.9    0.20483679999999999
0.30000000000000004   0.9500000000000001    0.1960216
0.30000000000000004   1.0    0.18578440000000002
0.35000000000000003   0.0    0.0524736
0.35000000000000003   0.05    0.06072279999999999
0.35000000000000003   0.1    0.081564
0.35000000000000003   0.15000000000000002    0.0975468
0.35000000000000003   0.2    0.1121732
0.35000000000000003   0.25    0.1332276
0.35000000000000003   0.30000000000000004    0.1348688
0.35000000000000003   0.35000000000000003    0.1650336
0.35000000000000003   0.4    0.174928
0.35000000000000003   0.45    0.1748516
0.35000000000000003   0.5    0.197674
0.35000000000000003   0.55    0.1989348
0.35000000000000003   0.6000000000000001    0.200682
0.35000000000000003   0.65    0.2131116
0.35000000000000003   0.7000000000000001    0.21138800000000002
0.35000000000000003   0.75    0.231066
0.35000000000000003   0.8    0.2311444
0.35000000000000003   0.8500000000000001    0.2437612
0.35000000000000003   0.9    0.2269332
0.35000000000000003   0.9500000000000001    0.24074160000000003
0.35000000000000003   1.0    0.23177759999999997
0.4   0.0    0.0510916
0.4   0.05    0.0653248
0.4   0.1    0.08828079999999999
0.4   0.15000000000000002    0.10269120000000001
0.4   0.2    0.11895399999999999
0.4   0.25    0.13430920000000002
0.4   0.30000000000000004    0.16071839999999998
0.4   0.35000000000000003    0.1737336
0.4   0.4    0.18878720000000002
0.4   0.45    0.200124
0.4   0.5    0.2144536
0.4   0.55    0.2278868
0.4   0.6000000000000001    0.2451724
0.4   0.65    0.2296596
0.4   0.7000000000000001    0.2549208
0.4   0.75    0.2601004
0.4   0.8    0.2532008
0.4   0.8500000000000001    0.2586792
0.4   0.9    0.2754192
0.4   0.9500000000000001    0.2873504
0.4   1.0    0.2821072
0.45   0.0    0.050927999999999994
