#p1    p2    Alive%
0.0    0.0    0.0015484
0.0    0.05    0.00159372
0.0    0.1    0.0016190999999999998
0.0    0.15000000000000002    0.00161956
0.0    0.2    0.00163462
0.0    0.25    0.00163584
0.0    0.30000000000000004    0.00165534
0.0    0.35000000000000003    0.0016546800000000002
0.0    0.4    0.00166176
0.0    0.45    0.0016577999999999999
0.0    0.5    0.0016522400000000001
0.0    0.55    0.00166992
0.0    0.6000000000000001    0.0016708600000000001
0.0    0.65    0.00167646
0.0    0.7000000000000001    0.001655
0.0    0.75    0.0016691199999999998
0.0    0.8    0.0016657800000000002
0.0    0.8500000000000001    0.00165158
0.0    0.9    0.0016595
0.0    0.9500000000000001    0.00165682
0.0    1.0    0.0016736799999999999
0.05    0.0    0.0010149800000000002
0.05    0.05    0.0011570999999999999
0.05    0.1    0.00118176
0.05    0.15000000000000002    0.00125052
0.05    0.2    0.00127136
0.05    0.25    0.0012848599999999999
0.05    0.30000000000000004    0.00131624
0.05    0.35000000000000003    0.0013177
0.05    0.4    0.0013259399999999998
0.05    0.45    0.0013512
0.05    0.5    0.00134384
0.05    0.55    0.00135116
0.05    0.6000000000000001    0.00136444
0.05    0.65    0.0013633
0.05    0.7000000000000001    0.001351
0.05    0.75    0.0013653
0.05    0.8    0.00137826
0.05    0.8500000000000001    0.00137106
0.05    0.9    0.00137164
0.05    0.9500000000000001    0.00139176
0.05    1.0    0.00138864
0.1    0.0    0.0007143200000000001
0.1    0.05    0.0008374599999999999
0.1    0.1    0.00094092
0.1    0.15000000000000002    0.0010224
0.1    0.2    0.00109724
0.1    0.25    0.0011307399999999999
0.1    0.30000000000000004    0.00115764
0.1    0.35000000000000003    0.0011636799999999998
0.1    0.4    0.00119142
0.1    0.45    0.00120544
0.1    0.5    0.00120962
0.1    0.55    0.0012337
0.1    0.6000000000000001    0.00123202
0.1    0.65    0.00124288
0.1    0.7000000000000001    0.0012507
0.1    0.75    0.00125464
0.1    0.8    0.00126212
0.1    0.8500000000000001    0.00126992
0.1    0.9    0.0012636
0.1    0.9500000000000001    0.0012701000000000001
0.1    1.0    0.00128056
0.15000000000000002    0.0    0.0004995599999999999
0.15000000000000002    0.05    0.00062608
0.15000000000000002    0.1    0.00074674
0.15000000000000002    0.15000000000000002    0.00085544
0.15000000000000002    0.2    0.00093238
0.15000000000000002    0.25    0.0009875
0.15000000000000002    0.30000000000000004    0.00104038
0.15000000000000002    0.35000000000000003    0.00106208
0.15000000000000002    0.4    0.0010994400000000001
0.15000000000000002    0.45    0.00111436
0.15000000000000002    0.5    0.00113386
0.15000000000000002    0.55    0.00114772
0.15000000000000002    0.6000000000000001    0.00115372
0.15000000000000002    0.65    0.00116676
0.15000000000000002    0.7000000000000001    0.0011886
0.15000000000000002    0.75    0.00118054
0.15000000000000002    0.8    0.0011911
0.15000000000000002    0.8500000000000001    0.0011933999999999998
0.15000000000000002    0.9    0.00120702
0.15000000000000002    0.9500000000000001    0.0012102
0.15000000000000002    1.0    0.00121708
0.2    0.0    0.00036815999999999997
0.2    0.05    0.0004606
0.2    0.1    0.0005706400000000001
0.2    0.15000000000000002    0.00068692
0.2    0.2    0.00079832
