#p1    p2    variance
0.0    0.0    4.984540170177432e-05
0.0    0.05    4.827355634155774e-05
0.0    0.1    5.121941078027007e-05
0.0    0.15000000000000002    4.9750647088625565e-05
0.0    0.2    4.8120095263374066e-05
0.0    0.25    5.034607109255459e-05
0.0    0.30000000000000004    5.111065609741711e-05
0.0    0.35000000000000003    5.0951677980946795e-05
0.0    0.4    4.983144996459632e-05
0.0    0.45    5.139216685496933e-05
0.0    0.5    4.752288860065731e-05
0.0    0.55    5.0306450999768004e-05
0.0    0.6000000000000001    4.9708956539335504e-05
0.0    0.65    4.843072901187388e-05
0.0    0.7000000000000001    5.071276383209211e-05
0.0    0.75    5.092442759321703e-05
0.0    0.8    4.850443447570991e-05
0.0    0.8500000000000001    4.821153853852302e-05
0.0    0.9    4.949355624603418e-05
0.0    0.9500000000000001    4.852787921536704e-05
0.0    1.0    4.704549466938534e-05
0.05    0.0    4.956581548947793e-05
0.05    0.05    4.876953422909125e-05
0.05    0.1    5.0210168195416784e-05
0.05    0.15000000000000002    5.155860521684969e-05
0.05    0.2    4.856676524632049e-05
0.05    0.25    5.054784475653961e-05
0.05    0.30000000000000004    4.9661258431453494e-05
0.05    0.35000000000000003    5.108390017043966e-05
0.05    0.4    4.7704839852543585e-05
0.05    0.45    4.981042139081993e-05
0.05    0.5    4.8125457717752566e-05
0.05    0.55    5.1838652760007574e-05
0.05    0.6000000000000001    4.964212970549486e-05
0.05    0.65    4.9441780655590637e-05
0.05    0.7000000000000001    5.017968995848277e-05
0.05    0.75    5.1027471277782354e-05
0.05    0.8    4.87870004768984e-05
0.05    0.8500000000000001    5.093972203841372e-05
0.05    0.9    5.037495211111877e-05
0.05    0.9500000000000001    4.872498629976237e-05
0.05    1.0    4.924090489833656e-05
0.1    0.0    5.016228048444757e-05
0.1    0.05    4.802948957202408e-05
0.1    0.1    4.898875483832856e-05
0.1    0.15000000000000002    5.090909689223068e-05
0.1    0.2    4.821293674653289e-05
0.1    0.25    4.9809274539284634e-05
0.1    0.30000000000000004    5.021916806408185e-05
0.1    0.35000000000000003    4.909014947719433e-05
0.1    0.4    4.934438494734054e-05
0.1    0.45    4.9400168000372824e-05
0.1    0.5    4.9932995859233275e-05
0.1    0.55    4.958983993647642e-05
0.1    0.6000000000000001    4.901535004071143e-05
0.1    0.65    4.9167757292524823e-05
0.1    0.7000000000000001    5.1648788906668444e-05
0.1    0.75    4.950382699699009e-05
0.1    0.8    5.043494067746752e-05
0.1    0.8500000000000001    4.9812893219361604e-05
0.1    0.9    4.8031810823051815e-05
0.1    0.9500000000000001    4.901785981329178e-05
0.1    1.0    4.941240697203726e-05
0.15000000000000002    0.0    4.881125492266108e-05
0.15000000000000002    0.05    4.8780908226873175e-05
0.15000000000000002    0.1    5.15761243271584e-05
0.15000000000000002    0.15000000000000002    4.905380316366055e-05
0.15000000000000002    0.2    4.981251496202797e-05
0.15000000000000002    0.25    4.8616997054436914e-05
0.15000000000000002    0.30000000000000004    4.7831228504999444e-05
0.15000000000000002    0.35000000000000003    4.996832644990784e-05
0.15000000000000002    0.4    4.93252700331303e-05
0.15000000000000002    0.45    5.194932546333728e-05
0.15000000000000002    0.5    5.044297407986028e-05
0.15000000000000002    0.55    4.954678353208897e-05
0.15000000000000002    0.6000000000000001    5.0019152850655e-05
0.15000000000000002    0.65    5.0640714548247086e-05
0.15000000000000002    0.7000000000000001    5.029137430193856e-05
0.15000000000000002    0.75    4.9731113202459913e-05
0.15000000000000002    0.8    4.930883843224006e-05
0.15000000000000002    0.8500000000000001    5.05091057491438e-05
0.15000000000000002    0.9    4.8913135581033485e-05
0.15000000000000002    0.9500000000000001    4.8697090713894375e-05
0.15000000000000002    1.0    4.9942838086276895e-05
0.2    0.0    4.982997313389718e-05
0.2    0.05    5.159336509338688e-05
0.2    0.1    5.086177957605443e-05
0.2    0.15000000000000002    5.17658086277684e-05
0.2    0.2    4.9633822022170734e-05
0.2    0.25    5.00784366928958e-05
0.2    0.30000000000000004    5.0249189103247146e-05
0.2    0.35000000000000003    4.9700915705688923e-05
0.2    0.4    4.910798124292867e-05
0.2    0.45    4.971453096210537e-05
0.2    0.5    5.000291372335511e-05
0.2    0.55    4.880582020890166e-05
0.2    0.6000000000000001    4.965373438309602e-05
0.2    0.65    4.8939032478172265e-05
0.2    0.7000000000000001    5.044860353379643e-05
0.2    0.75    4.9602520918861564e-05
0.2    0.8    5.049825371410814e-05
0.2    0.8500000000000001    4.94791167007807e-05
0.2    0.9    4.961097077362577e-05
0.2    0.9500000000000001    5.025440124150264e-05
0.2    1.0    5.2132411772596043e-05
0.25    0.0    5.060910282188604e-05
0.25    0.05    4.9892570985999844e-05
0.25    0.1    4.900078296390361e-05
0.25    0.15000000000000002    5.039952041294635e-05
0.25    0.2    5.020581585038914e-05
